id|cocktail_id|ingredient_id|portion|created_at|updated_at
1217|268|16|4 oz|2022-12-10 17:54:44.086459|2022-12-10 17:54:44.086459
1218|268|222|4 oz|2022-12-10 17:54:44.092639|2022-12-10 17:54:44.092639
1219|268|218|""|2022-12-10 17:54:44.098218|2022-12-10 17:54:44.098218
1220|269|208|1 oz|2022-12-10 17:54:44.104562|2022-12-10 17:54:44.104562
1221|269|26|1/2 oz|2022-12-10 17:54:44.111652|2022-12-10 17:54:44.111652
1222|269|16|1/2 oz|2022-12-10 17:54:44.120347|2022-12-10 17:54:44.120347
1223|269|90|1/2 oz|2022-12-10 17:54:44.126783|2022-12-10 17:54:44.126783
1224|269|148|1/2 oz Bacardi|2022-12-10 17:54:44.13303|2022-12-10 17:54:44.13303
1225|270|16|50 ml|2022-12-10 17:54:44.138948|2022-12-10 17:54:44.138948
1226|270|31|50 ml|2022-12-10 17:54:44.144655|2022-12-10 17:54:44.144655
1227|270|78|4 oz|2022-12-10 17:54:44.150495|2022-12-10 17:54:44.150495
1228|271|16|3/4 oz|2022-12-10 17:54:44.156716|2022-12-10 17:54:44.156716
1229|271|224|1 oz|2022-12-10 17:54:44.272562|2022-12-10 17:54:44.272562
1230|271|47|1 splash|2022-12-10 17:54:44.278352|2022-12-10 17:54:44.278352
1231|272|40|2 oz|2022-12-10 17:54:44.284256|2022-12-10 17:54:44.284256
1232|272|16|2 oz|2022-12-10 17:54:44.292453|2022-12-10 17:54:44.292453
1233|272|225|4 oz Grape|2022-12-10 17:54:44.402286|2022-12-10 17:54:44.402286
1234|273|22|1 shot|2022-12-10 17:54:44.408351|2022-12-10 17:54:44.408351
1235|273|18|Top up with|2022-12-10 17:54:44.414318|2022-12-10 17:54:44.414318
1236|273|78|2 shots|2022-12-10 17:54:44.41986|2022-12-10 17:54:44.41986
1237|274|18|Chilled|2022-12-10 17:54:44.425795|2022-12-10 17:54:44.425795
1238|274|226|1 tsp|2022-12-10 17:54:44.532378|2022-12-10 17:54:44.532378
1239|275|18|6 oz|2022-12-10 17:54:44.538501|2022-12-10 17:54:44.538501
1240|275|227|1 oz|2022-12-10 17:54:44.650699|2022-12-10 17:54:44.650699
1241|276|25|1 piece|2022-12-10 17:54:44.656547|2022-12-10 17:54:44.656547
1242|276|44|1 dash|2022-12-10 17:54:44.662042|2022-12-10 17:54:44.662042
