id|name|description|instructions|glass_type|thumbnail|portions
411|Port Wine Flip||Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg|"{""Egg"": ""1 whole "", ""Port"": ""1 1/2 oz "", ""Nutmeg"": null, ""Light cream"": ""2 tsp "", ""Powdered sugar"": ""1 tsp ""}"
412|Queen Bee||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg|"{""Sherry"": ""1/2 oz cream "", ""Lime vodka"": ""1 1/2 oz "", ""Coffee brandy"": ""1 oz ""}"
413|Artillery Punch||Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel.|Punch bowl|https://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg|"{""Rum"": ""1 pint Jamaican "", ""Tea"": ""1 quart black "", ""Brandy"": ""1/2 pint "", ""Red wine"": ""1 fifth "", ""Benedictine"": ""1 1/2 oz "", ""Lemon juice"": ""1/2 pint "", ""Rye whiskey"": ""1 quart "", ""Orange juice"": ""1 pint ""}"
414|Gluehwein||Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.|Irish coffee cup|https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg|"{""Sugar"": ""60 gr "", ""Water"": ""125 ml "", ""Cloves"": ""3 "", ""Cinnamon"": ""1 "", ""Red wine"": ""1 L "", ""Lemon peel"": ""1 tblsp ""}"
415|Queen Charlotte||Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.|Collins glass|https://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg|"{""Red wine"": ""2 oz "", ""Grenadine"": ""1 oz "", ""Lemon-lime soda"": null}"
416|Sangria||Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.|Pitcher|https://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg|"{""Sugar"": ""1/2 cup "", ""Cloves"": null, ""Cinnamon"": null, ""Red wine"": ""1 bottle "", ""Lemon juice"": ""1 cup "", ""Orange juice"": ""1 cup ""}"
417|Sangria The  Best||Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.|Pitcher|https://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg|"{""Apple"": ""1 large "", ""Lemon"": ""1 large "", ""Sugar"": ""1 cup "", ""Brandy"": ""3-4 oz plain "", ""Orange"": ""1 large "", ""Red wine"": ""1 1/2 L "", ""Soda water"": null}"
418|Smut||Throw it all together and serve real cold.|Beer mug|https://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg|"{""Red wine"": ""1/3 part "", ""Pepsi Cola"": ""1/3 part "", ""Orange juice"": ""1/3 part "", ""Peach schnapps"": ""1 shot ""}"
419|Sweet Sangria||Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.|Pitcher|https://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg|"{""Lime"": "" wedges\n"", ""Apple"": ""1 cup"", ""Lemon"": null, ""Sugar"": ""1 cup "", ""Water"": ""2 cups hot "", ""Fresca"": null, ""Orange"": "" wedges\n"", ""Red wine"": ""2 bottles ""}"
420|Wine Cooler||Mix wine and soft drink. Pour into glass. Add ice.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/yutxtv1473344210.jpg|"{""Ice"": ""cubes"", ""Red wine"": ""2 oz white or "", ""Lemon-lime soda"": ""5 oz ""}"
